run,jixuan_id,sampleID,uniqueID,unique_seq_name,type,seq_date,combined,dvd1,caste,treatment,stage,age,group1,group2
JHA_10D_1@DP8400025732TR_L01_206,JHA_10D_1,JHA_10D_1,JHA_10D_1-n,DP8400025732TR_L01_206,1,211212,n,Exp,Worker,JH,3rd,3rd.10D,JH.Worker,JHA_10D
JHA_10D_10@DP8400025471TL_L01_188,JHA_10D_10,JHA_10D_10,JHA_10D_10-n,DP8400025471TL_L01_188,1,211212,n,Exp,Worker,JH,3rd,3rd.10D,JH.Worker,JHA_10D
JHA_10D_11@DP8400025471TL_L01_189,JHA_10D_11,JHA_10D_11,JHA_10D_11-n,DP8400025471TL_L01_189,1,211212,n,Exp,Worker,JH,3rd,3rd.10D,JH.Worker,JHA_10D
JHA_10D_12@DP8400025471TL_L01_190,JHA_10D_12,JHA_10D_12,JHA_10D_12-n,DP8400025471TL_L01_190,1,211212,n,Exp,Worker,JH,3rd,3rd.10D,JH.Worker,JHA_10D
JHA_10D_2@DP8400025471TL_L01_157,JHA_10D_2,JHA_10D_2,JHA_10D_2-n,DP8400025471TL_L01_157,1,211212,n,Exp,Worker,JH,3rd,3rd.10D,JH.Worker,JHA_10D
JHA_10D_3@DP8400025471TL_L01_158,JHA_10D_3,JHA_10D_3,JHA_10D_3-n,DP8400025471TL_L01_158,1,211212,n,Exp,Worker,JH,3rd,3rd.10D,JH.Worker,JHA_10D
JHA_10D_4@DP8400025471TL_L01_159,JHA_10D_4,JHA_10D_4,JHA_10D_4-n,DP8400025471TL_L01_159,1,211212,n,Exp,Worker,JH,3rd,3rd.10D,JH.Worker,JHA_10D
JHA_10D_5@DP8400025471TL_L01_160,JHA_10D_5,JHA_10D_5,JHA_10D_5-n,DP8400025471TL_L01_160,1,211212,n,Exp,Worker,JH,3rd,3rd.10D,JH.Worker,JHA_10D
JHA_10D_6@DP8400025471TL_L01_185,JHA_10D_6,JHA_10D_6,JHA_10D_6-n,DP8400025471TL_L01_185,1,211212,n,Exp,Worker,JH,3rd,3rd.10D,JH.Worker,JHA_10D
JHA_10D_8@DP8400025732TR_L01_207,JHA_10D_8,JHA_10D_8,JHA_10D_8-n,DP8400025732TR_L01_207,1,211212,n,Exp,Worker,JH,3rd,3rd.10D,JH.Worker,JHA_10D
JHA_10D_9@DP8400025471TL_L01_187,JHA_10D_9,JHA_10D_9,JHA_10D_9-n,DP8400025471TL_L01_187,1,211212,n,Exp,Worker,JH,3rd,3rd.10D,JH.Worker,JHA_10D
