Run,Age,caste.x,Organism,seqType,library,Group
Gyne_3rd_10@DP8400025733TR_L01_149,3rd,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_10@DP8400025733TR_L01_149
Gyne_3rd_11@DP8400025733TR_L01_150,3rd,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_11@DP8400025733TR_L01_150
Gyne_3rd_12@DP8400025733TR_L01_151,3rd,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_12@DP8400025733TR_L01_151
Gyne_3rd_1@DP8400025732TR_L01_140,3rd,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_1@DP8400025732TR_L01_140
Gyne_3rd_2@DP8400025732TR_L01_141,3rd,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_2@DP8400025732TR_L01_141
Gyne_3rd_3@DP8400025732TR_L01_142,3rd,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_3@DP8400025732TR_L01_142
Gyne_3rd_4@FP200004211_L01_143,3rd,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_4@FP200004211_L01_143
Gyne_3rd_5@FP200004211_L01_144,3rd,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_5@FP200004211_L01_144
Gyne_3rd_6@FP200004211_L01_145,3rd,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_6@FP200004211_L01_145
Gyne_3rd_7@FP200004211_L01_146,3rd,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_7@FP200004211_L01_146
Gyne_3rd_8@FP200004033_L01_147,3rd,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_8@FP200004033_L01_147
Gyne_3rd_9@DP8400025733TR_L01_148,Pre.Pupa,Gyne,Monomorium pharaonis,PE,PE,Gyne_3rd_9@DP8400025733TR_L01_148
Gyne_PP_10@DP8400025733TR_L01_185,Pre.Pupa,Gyne,Monomorium pharaonis,PE,PE,Gyne_PP_10@DP8400025733TR_L01_185
Gyne_PP_11@DP8400025733TR_L01_186,Pre.Pupa,Gyne,Monomorium pharaonis,PE,PE,Gyne_PP_11@DP8400025733TR_L01_186
Gyne_PP_12@DP8400025733TR_L01_187,Pre.Pupa,Gyne,Monomorium pharaonis,PE,PE,Gyne_PP_12@DP8400025733TR_L01_187
Gyne_PP_1@DP8400025733TR_L01_152,Pre.Pupa,Gyne,Monomorium pharaonis,PE,PE,Gyne_PP_1@DP8400025733TR_L01_152
Gyne_PP_2@DP8400025733TR_L01_153,Pre.Pupa,Gyne,Monomorium pharaonis,PE,PE,Gyne_PP_2@DP8400025733TR_L01_153
Gyne_PP_3@DP8400025733TR_L01_154,Pre.Pupa,Gyne,Monomorium pharaonis,PE,PE,Gyne_PP_3@DP8400025733TR_L01_154
Gyne_PP_4@DP8400025733TR_L01_155,Pre.Pupa,Gyne,Monomorium pharaonis,PE,PE,Gyne_PP_4@DP8400025733TR_L01_155
Gyne_PP_5@DP8400025733TR_L01_156,Pre.Pupa,Gyne,Monomorium pharaonis,PE,PE,Gyne_PP_5@DP8400025733TR_L01_156
Gyne_PP_6@DP8400025733TR_L01_157,Pre.Pupa,Gyne,Monomorium pharaonis,PE,PE,Gyne_PP_6@DP8400025733TR_L01_157
Gyne_PP_7@DP8400025733TR_L01_158,Pre.Pupa,Gyne,Monomorium pharaonis,PE,PE,Gyne_PP_7@DP8400025733TR_L01_158
