"Chr","identity_NCBI","tx","gene","pr","identity_Zijun","identity"
"NC_050467.1","lncRNA","XR_004964791.1","LOC118647589",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963521.1","LOC118645879",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963522.1","LOC118645879",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963520.1","LOC118645879",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963314.1","LOC118645616",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963312.1","LOC118645613",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963311.1","LOC118645613",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626153.2","LOC105830563",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963310.1","LOC105830563",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962158.1","LOC118644344",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963680.1","LOC105827805",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965482.1","LOC118648892",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965481.1","LOC118648892",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962991.1","LOC118645190",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626364.2","LOC114255033",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626105.2","LOC114254819",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_001139419.2","LOC105840966",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963027.1","LOC105840966",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962426.1","LOC118644682",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626443.2","LOC114255162",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964580.1","LOC105838126",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964583.1","LOC105838126",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965386.1","LOC118648640",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626160.2","LOC114254852",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626196.1","LOC114254886",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003625292.1","LOC114253844",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965492.1","LOC105829580",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626215.2","LOC114254899",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962312.1","LOC118644536",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962309.1","LOC118644535",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962310.1","LOC118644535",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626198.2","LOC114254888",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964913.1","LOC118647770",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964915.1","LOC118647773",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964911.1","LOC105833577",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626194.2","LOC114254884",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626172.1","LOC114254866",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965490.1","LOC118648902",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626217.2","LOC114254902",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965491.1","LOC118648903",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626472.2","LOC114255183",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963039.1","LOC118645280",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626127.2","LOC105836318",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626126.2","LOC114254832",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626199.2","LOC114253744",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962327.1","LOC118644556",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626167.2","LOC114253742",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004964979.1","LOC118647846",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962670.1","LOC118644885",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965112.1","LOC118647970",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626207.2","LOC114254894",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004962511.1","LOC118644740",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626149.2","LOC114254849",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626150.2","LOC114254850",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626148.2","LOC114254847",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965468.1","LOC118648871",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965469.1","LOC118648872",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_003626838.2","LOC114255604",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965466.1","LOC118648870",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965464.1","LOC118648870",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965467.1","LOC118648870",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965465.1","LOC118648870",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965470.1","LOC118648873",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004965042.1","LOC118647883",NA,NA,"lncRNA"
"NC_050467.1","lncRNA","XR_004963432.1","LOC118645820",NA,NA,"lncRNA"
